bin_low,bin_high,number_residues,mean_rsa_monomer,mean_rsa_complex
0.0,0.0,3618,0.23522870848124275,0.0
0.0,0.05,7539,0.30252969870989366,0.022836858317790122
0.05,0.1,4799,0.37324326480248743,0.07336211984531948
0.1,0.15000000000000002,3519,0.41574481890799936,0.12454712466333949
0.15000000000000002,0.2,3034,0.4596920041658123,0.17448494092085876
0.2,0.25,2583,0.4988453333506683,0.22414397071134817
0.25,0.30000000000000004,2334,0.5300252586017469,0.27516019100051486
0.30000000000000004,0.35000000000000003,1982,0.5708713345883948,0.32500919558493796
0.35000000000000003,0.4,1874,0.6033260831160385,0.3746650623902566
0.4,0.45,1537,0.6430818269342026,0.42490176722025996
0.45,0.5,1333,0.6715863540579352,0.475190185513604
0.5,0.55,1122,0.7052910440310076,0.5250057536999061
0.55,0.6000000000000001,1014,0.7427815830708852,0.5756638529300816
0.6000000000000001,0.65,814,0.780176908439181,0.624345630571263
0.65,0.7000000000000001,630,0.8226248684903339,0.6749765301904553
0.7000000000000001,0.75,518,0.843466078398855,0.7240929076627168
0.75,0.8,326,0.8871631456438912,0.7745077711650047
0.8,0.8500000000000001,303,0.9235235392922618,0.8243269088254259
0.8500000000000001,0.9,218,0.9560178112747038,0.8760484395782117
0.9,0.9500000000000001,166,0.9779919847258366,0.9223595842610718
0.9500000000000001,1.0,90,0.9960765650433037,0.9719859571221682
