bin_low,bin_high,number_residues,mean_rsa_monomer,mean_rsa_complex
0.0,0.05,1535,0.02837644365539141,0.007692153812267087
0.05,0.1,1850,0.07509065255882491,0.02509477121261369
0.1,0.15000000000000002,1918,0.12488066264846001,0.0468768994321331
0.15000000000000002,0.2,1993,0.17572677628396213,0.06596125225142704
0.2,0.25,2063,0.2255726975142139,0.0922825862087778
0.25,0.30000000000000004,2298,0.27613200853821945,0.10709269696406934
0.30000000000000004,0.35000000000000003,2303,0.3251619172847644,0.13260692336118368
0.35000000000000003,0.4,2541,0.37542461208915845,0.15365472089012785
0.4,0.45,2460,0.4254349680271461,0.18913035499539343
0.45,0.5,2652,0.47565905791077134,0.2056367471098904
0.5,0.55,2460,0.5255845774023454,0.23202369583798466
0.55,0.6000000000000001,2448,0.5761607662929114,0.2653368357320609
0.6000000000000001,0.65,2237,0.6256002065639659,0.29778127386140313
0.65,0.7000000000000001,2029,0.6752540126483713,0.3247083206073227
0.7000000000000001,0.75,1866,0.7237737100558285,0.35928396922169614
0.75,0.8,1605,0.7755047825819923,0.38891187941765487
0.8,0.8500000000000001,1216,0.8245458375481196,0.42019873336265573
0.8500000000000001,0.9,1082,0.8744987324530079,0.46267444639818994
0.9,0.9500000000000001,852,0.9247409508571223,0.5021609927285439
0.9500000000000001,1.0,1945,0.9914675077666047,0.54455798942409
