bin_low,bin_high,number_residues,mean_rsa_monomer,mean_rsa_complex
0.0,0.0,242739,0.28298909749807744,0.28298909749807744
0.0,0.1,11599,0.3097503218121982,0.2652968947231754
0.1,0.2,7856,0.4034155454156724,0.2556957499241989
0.2,0.30000000000000004,6171,0.474985752888096,0.22509085641932652
0.30000000000000004,0.4,4931,0.5525650420037229,0.2031017446019783
0.4,0.5,3636,0.620456324826237,0.17221373747513014
0.5,0.6000000000000001,2445,0.6960713493850307,0.14781208121065825
0.6000000000000001,0.7000000000000001,1441,0.7716754379915255,0.12588555691315148
0.7000000000000001,0.8,800,0.8510953507453938,0.10386331454919467
0.8,0.9,324,0.9256509972146361,0.08316215387134183
0.9,1.0,150,0.9850947640643574,0.037082683102184884
