PDB_ID,Download_status
6kdf,OK
6dcx,OK
1yjx,OK
1qja,OK
4hex,OK
2iw3,OK
4ww5,counts
3f7l,OK
1z9a,OK
1nyr,OK
3mi3,OK
3r7t,OK
1kz8,OK
2rab,OK
4v03,OK
5kfq,OK
3oto,OK
6jha,counts
3h0y,OK
4guk,OK
5ona,OK
1ef3,OK
6i3p,OK
5ojw,OK
1wkr,OK
2bh2,OK
1c3c,counts
3szr,OK
3rkr,OK
3g1u,OK
2clc,OK
1ngf,OK
2fzg,OK
3wjo,OK
6pgo,OK
5dg9,OK
5axk,OK
6g3r,OK
1sq1,OK
5buz,OK
5feu,OK
3pir,OK
3uwy,OK
2chg,OK
4eky,OK
2c68,OK
4v0m,counts
5d9l,OK
3p8r,OK
3lhd,counts
2hf4,OK
3h4m,OK
1ua2,OK
6r29,OK
3bbc,OK
6nmf,OK
6dkn,OK
1vdw,OK
3onn,OK
2ph3,OK
4m63,OK
2f4o,OK
1sku,OK
4eci,OK
2c61,OK
2qg5,OK
1zmw,OK
4jg6,OK
3pvw,OK
6gsl,failed_download
4twa,counts
1gyb,OK
1aqf,OK
3rnm,OK
5nyl,OK
4f8z,OK
3cmq,OK
3tqj,OK
1tat,OK
4zxt,OK
4tmr,OK
3s2e,OK
3ofn,OK
6eql,OK
6pg3,OK
4b3m,OK
3vr6,OK
1vgp,OK
4gpu,OK
1xiq,OK
1h1q,OK
1xu4,OK
4or5,OK
4no1,OK
5m0j,OK
5qt3,OK
6l2q,OK
3hx4,OK
4mgi,OK
6bz6,failed_download
3qcy,OK
4p3n,OK
5gw6,OK
2vf5,OK
2ya9,OK
2egs,OK
3tco,OK
3dws,OK
3wc6,OK
4eqm,OK
6ne6,OK
2x2g,OK
5auz,OK
2zkj,OK
5el5,failed_download
1o5o,OK
1fio,OK
3sqw,OK
3ory,OK
3emn,OK
3s0j,OK
5mks,OK
1pl7,OK
4ifd,OK
6hwa,OK
3mjm,OK
5eem,OK
1w63,OK
3k7w,OK
1jp4,OK
6e8o,OK
1qds,OK
3ka0,OK
3spx,OK
3f3z,OK
1u8f,OK
6qmm,OK
5jgh,OK
3oij,OK
3the,OK
1l8p,OK
2w1d,OK
3dop,OK
2qcg,OK
4ejm,OK
2qrz,OK
5h12,OK
5yzi,OK
5fg8,OK
2io1,OK
1ek5,OK
1nrj,counts
3ndm,OK
6mve,OK
5aw6,OK
1nmz,OK
3lxm,OK
4mw7,OK
4o89,OK
3oqk,OK
3ufl,OK
6goe,OK
4kr0,OK
3a6p,OK
6efv,OK
5eti,OK
3jsk,OK
4q9j,OK
6o3f,OK
2iw2,OK
1nr7,OK
4pua,OK
5g2p,OK
5c19,OK
3wc1,OK
1tb3,OK
4bcq,OK
3c2f,OK
4itr,OK
3cf1,OK
2uyk,OK
5avz,OK
4tq1,OK
6s1l,OK
1lqb,OK
2jg2,OK
5uf8,OK
1m9e,OK
6fd3,OK
2dym,counts
1j2j,OK
6i5x,OK
1j4h,OK
1iat,OK
4n84,OK
4f2g,OK
2byj,OK
4dzy,OK
5e1n,distance
2pj5,OK
1vbx,OK
3svk,counts
3ksd,OK
3gzh,OK
1fwk,OK
4wyk,OK
1euc,OK
1ubv,OK
1lk5,OK
4jqm,OK
3e5a,OK
4wb0,OK
5gz2,OK
3tot,OK
2zzf,OK
1y67,OK
4nvi,OK
1ypi,OK
6a34,OK
2aj4,OK
4isy,OK
2e7r,OK
5y4u,OK
4qa4,OK
3p8i,OK
4kms,OK
2hg2,OK
2vu3,OK
1var,OK
6daj,OK
1h2t,OK
2e17,OK
5dif,OK
2emr,OK
3fkn,OK
1u1h,OK
2ep5,OK
2q8m,OK
2wzj,OK
4bbs,OK
6no0,OK
2dg3,counts
4xw5,OK
4eg6,OK
2ocd,distance
6cxx,OK
1ixe,OK
2rf4,OK
3ue9,OK
4djl,OK
3le6,OK
5m3z,OK
2gou,OK
5f91,OK
2bs3,OK
3ewy,OK
2pdg,OK
1s3g,OK
6p43,OK
4mgv,OK
3el3,OK
6g9n,OK
6iby,OK
6h47,OK
2hvg,OK
1vl1,OK
1ohv,OK
6hcu,OK
4e8a,OK
1trk,OK
3pgg,counts
2vl3,OK
3l4u,OK
5efg,OK
3goa,distance
4gyi,OK
4ub7,OK
2e8h,OK
1ocx,OK
5tey,counts
2acs,OK
3vdn,OK
2ocy,OK
2hej,OK
4lk2,OK
5loz,OK
5dbe,OK
3bg1,OK
1amq,OK
1uh7,OK
5k97,OK
2ff5,OK
2wtw,OK
4caz,OK
3crk,OK
4qgb,OK
5v36,OK
3eca,OK
3enp,counts
1thz,OK
2i0h,OK
6itz,OK
4njq,OK
3trn,OK
1s2c,OK
3mkq,OK
5ism,OK
4gjb,OK
6g7e,OK
3at3,OK
4b1b,OK
4ypd,OK
2qa4,OK
5n3b,counts
3w1w,OK
1di9,OK
3evo,OK
1gzo,OK
4dv1,OK
4f6o,OK
6czz,OK
4gkk,OK
6abw,OK
3fmn,OK
1l6y,OK
6fcd,OK
3me3,counts
1njj,OK
5iyz,OK
3r4t,OK
1l5v,OK
5la6,OK
1ggn,OK
6i3v,OK
5i7u,OK
3dbd,OK
6n0d,OK
2scu,OK
5hwr,OK
1c02,OK
3fhn,OK
3vl1,OK
1ebu,OK
3hco,OK
3ngr,OK
3wbz,OK
5itw,OK
3hdm,OK
4nxm,OK
4mwd,OK
3shj,OK
2wyz,OK
3qx7,OK
2zr2,OK
2vfh,OK
4wif,OK
5i91,counts
6knh,OK
2x83,OK
2vn9,OK
2q71,OK
2cvh,OK
5hsh,counts
3aqc,OK
2b3j,OK
1ecf,OK
4whv,counts
4uwf,OK
3ug7,OK
4qmu,OK
6css,OK
4ohz,OK
6r5d,OK
5urg,OK
6ath,OK
2tmk,OK
4a9a,OK
1rxv,OK
1e2d,OK
2hse,OK
4dhj,OK
5f9n,OK
4cqg,OK
5ulk,OK
6p0b,OK
4cdo,OK
3fmh,OK
3kkk,OK
4fs4,OK
2h3w,OK
3nal,OK
6iu1,OK
2wow,OK
1ukj,OK
6b8v,OK
5ca1,OK
6cmz,OK
5u4x,OK
4gco,OK
1sqm,OK
2cxn,OK
6c9h,OK
5u5w,OK
5ucx,OK
1ofe,OK
2pg1,OK
5h7s,OK
3uwd,OK
1u9a,OK
4h9g,OK
6qbn,OK
4fam,OK
6a6m,OK
3b1j,OK
4ekc,OK
1oky,OK
4i9u,OK
4mw0,OK
3u6b,OK
2eim,OK
3d7m,OK
4b3h,OK
1z89,OK
3rap,OK
3lfn,OK
2xxa,OK
6g76,OK
6g6x,OK
5jby,OK
5kmq,counts
5mm1,OK
1q11,OK
2jhg,OK
3i56,OK
6aph,OK
6qri,OK
3n1w,OK
2hui,OK
1aib,OK
6fi3,OK
6eob,OK
6bl1,OK
4f02,OK
5l57,OK
1m3k,OK
6n1o,OK
5oki,OK
4nts,counts
1yr5,OK
4bx3,OK
6b0y,OK
6i2y,counts
4ixs,OK
1wrv,OK
2zd7,OK
3ozx,OK
2qvz,OK
6dhl,OK
2pk9,OK
3fly,OK
4l4s,OK
2o2q,OK
2p4f,OK
3fu9,OK
4gwx,OK
5my9,OK
1six,OK
4j78,OK
4g6h,OK
4y0v,counts
1zj6,OK
1qj5,OK
4res,OK
2iae,OK
2g62,OK
6i5c,OK
1a12,OK
4tl0,OK
3n5u,OK
3t05,OK
1pi6,OK
5opx,OK
6hx7,OK
4ecs,OK
4qq8,OK
4rj3,OK
3l4g,OK
5j4k,OK
6i7d,OK
3k1o,OK
4hb3,OK
4jjm,OK
4l45,OK
3swn,OK
1c4g,OK
4odq,OK
5mgh,OK
5ghf,OK
5azg,OK
2euq,OK
1ayf,OK
5i5z,OK
6k9v,OK
4hoc,OK
6hhf,OK
3etj,OK
2pj2,OK
6azy,OK
3uip,OK
2eiq,OK
5hje,OK
4tuu,counts
4dlt,OK
1lkz,OK
3orq,OK
5eue,OK
5n9k,OK
2vmp,OK
3c3t,OK
2ery,OK
4qpz,OK
1r4n,OK
2jln,OK
6opg,OK
1kil,OK
5b1l,OK
3cf5,counts
5kp5,OK
1gnd,OK
3jyj,OK
1gnq,OK
5x8f,counts
4ret,OK
1bxr,OK
5kg7,OK
1t4g,OK
6ex4,OK
3p7y,OK
3mak,OK
2nty,counts
1o97,counts
4wgv,OK
6c9d,counts
4v7p,failed_download
4o5u,OK
3a52,OK
4x62,OK
4n9f,OK
2xns,OK
3gtk,OK
2caz,OK
5a4v,counts
3sqr,OK
1z3h,OK
1s08,OK
5lop,OK
1b5f,OK
2pja,OK
4qvp,OK
4cvj,OK
5cjo,OK
1oqr,OK
1eue,OK
4nbt,OK
2ih9,OK
4itg,OK
5vsb,counts
5jee,OK
4v5y,failed_download
4a3f,OK
3o5k,OK
4r3f,OK
2as2,counts
1t4t,OK
3oog,counts
5g10,OK
4d3x,OK
1ort,OK
3cqz,OK
6bry,OK
4zz0,OK
1ffk,counts
4yzg,OK
2v16,OK
4zxf,OK
1h3q,OK
3ldl,OK
1uu8,OK
5zzp,OK
4eh2,OK
2wz9,OK
3hl7,OK
3f7j,OK
3dbp,OK
4kvb,OK
3e34,OK
2xaa,OK
1smq,OK
2f51,OK
4psj,OK
3si8,OK
5bnx,OK
5iw7,counts
3q7j,OK
2yzr,OK
1udw,OK
3w15,OK
2h2d,OK
5pgw,OK
1qi6,OK
6gg6,OK
5b2j,OK
1rdy,OK
6hde,OK
1pi3,OK
5l6i,OK
1yqd,OK
2f16,OK
3nx6,OK
3vxg,OK
2hv7,OK
3cv7,OK
5vtb,counts
3whk,OK
3onk,counts
4e36,OK
6f8o,OK
3isl,OK
2ynx,OK
1twi,OK
5vde,OK
2i19,OK
3c6b,OK
2ayo,OK
6fc2,OK
3vas,OK
1al7,OK
1ll3,OK
3dbv,OK
1uro,OK
1e4o,OK
1i21,OK
5vqi,OK
1zwk,OK
4u75,OK
1ami,OK
2po2,OK
5i5x,OK
1uaq,OK
1wgi,OK
4ady,OK
2ol1,OK
2aif,OK
2q0n,counts
4b9k,counts
1xb4,OK
4mkk,OK
5lha,OK
4iq8,OK
5mco,OK
3o84,OK
5uog,OK
3sfc,OK
4lwz,OK
1s0u,counts
6mqn,OK
6g9a,OK
4ksc,OK
3fh5,OK
4kef,OK
3qpg,OK
2fze,OK
6hx9,OK
3ryw,OK
3fco,OK
6m7v,OK
3tft,OK
2uvd,OK
1fpm,OK
4hjr,OK
3vn9,OK
1ngi,OK
3bxx,OK
2fpk,OK
5ano,OK
1e0s,OK
2x1s,OK
3bhu,OK
6r4b,OK
6byk,OK
5vkw,OK
2i55,OK
4wfc,OK
5bt8,counts
3lep,OK
4pfc,OK
6jh7,counts
4l2x,counts
2bgv,OK
3sjc,OK
3vjl,OK
5o9m,counts
6b5h,OK
5lrf,OK
2cmw,counts
2g9n,distance
5is8,OK
2uy3,OK
6cwa,counts
1ep9,OK
1f0q,OK
5x49,OK
4w90,counts
2igy,OK
5wa9,OK
5mf6,OK
3gvx,OK
3o8o,OK
1dib,OK
5xf6,OK
1ah0,OK
6qy9,OK
6gqt,OK
4a6p,OK
3nb0,OK
5o8u,OK
2qae,OK
3e8d,OK
3ohm,OK
3g2i,OK
5oez,OK
5eig,OK
3kft,OK
3bv0,OK
1ngm,OK
5dxa,OK
5y07,OK
2j6h,OK
3djg,OK
2hik,OK
4cp5,OK
3bv7,OK
6c9m,OK
2xh7,OK
4u4q,failed_download
5mq5,OK
3fsf,OK
4xvu,OK
3pao,OK
5upx,OK
2a5j,OK
5lsb,OK
2cxs,OK
2iko,OK
6r4e,OK
4rpu,OK
6nx6,OK
3imi,OK
1y0v,OK
2huq,OK
1uwz,OK
5mi8,counts
5ybh,OK
5m57,counts
1tk3,OK
4f93,OK
3cwz,OK
